linie,total_rows,distanz_null_rate,tuerkriterium_null_rate,fahrt_id_null_rate,ort_nr_start_null_rate
1,349297,0.0,0.0,0.0,0.0
2,435180,0.0,0.0,0.0,0.0
3,443907,0.0,0.0,0.0,0.0
4,742352,0.0,0.0,0.0,0.0
6,367262,0.0,0.0,0.0,0.0
7,604504,0.0,0.0,0.0,0.0
8,281017,0.0,0.0,0.0,0.0
9,281259,0.0,0.0,0.0,0.0
10,256214,0.0,0.0,0.0,0.0
11,560463,0.0,0.0,0.0,0.0
12,338422,0.0,0.0,0.0,0.0
13,318984,0.0,0.0,0.0,0.0
47,77936,0.0,0.0,0.0,0.0
59,57130,0.0,0.0,0.0,0.0
60,59053,0.0,0.0,0.0,0.0
61,653320,0.0,0.0,0.0,0.0
62,393961,0.0,0.0,0.0,0.0
63,549875,0.0,0.0,0.0,0.0
64,467879,0.0,0.0,0.0,0.0
65,312097,0.0,0.0,0.0,0.0
66,302639,0.0,0.0,0.0,0.0
68,471027,0.0,0.0,0.0,0.0
70,257420,0.0,0.0,0.0,0.0
72,88564,0.0,0.0,0.0,0.0
73,30578,0.0,0.0,0.0,0.0
74,31288,0.0,0.0,0.0,0.0
77,105173,0.0,0.0,0.0,0.0
78,112047,0.0,0.0,0.0,0.0
79,31331,0.0,0.0,0.0,0.0
80,246485,0.0,0.0,0.0,0.0
81,65272,0.0,0.0,0.0,0.0
83,13470,0.0,0.0,0.0,0.0
84,44136,0.0,0.0,0.0,0.0
85,124017,0.0,0.0,0.0,0.0
86,51934,0.0,0.0,0.0,0.0
87,79471,0.0,0.0,0.0,0.0
88,81071,0.0,0.0,0.0,0.0
89,17683,0.0,0.0,0.0,0.0
90,129360,0.0,0.0,0.0,0.0
92,28947,0.0,0.0,0.0,0.0
93,6834,0.0,0.0,0.0,0.0
98,18733,0.0,0.0,0.0,0.0
103,221,0.0,0.0,0.0,0.0
104,231472,0.0,0.0,0.0,0.0
106,167342,0.0,0.0,0.0,0.0
108,148811,0.0,0.0,0.0,0.0
112,110390,0.0,0.0,0.0,0.0
113,223723,0.0,0.0,0.0,0.0
162,34823,0.0,0.0,0.0,0.0
166,34312,0.0,0.0,0.0,0.0
228,7190,0.0,0.0,0.0,0.0
366,5372,0.0,0.0,0.0,0.0
386,8380,0.0,0.0,0.0,0.0
477,36995,0.0,0.0,0.0,0.0
478,12129,0.0,0.0,0.0,0.0
520,21988,0.0,0.0,0.0,0.0
521,28955,0.0,0.0,0.0,0.0
522,12767,0.0,0.0,0.0,0.0
